Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908440_2	(1.0, 29.43090350236952)	(2.0, 8.603266959301788)	(3.0, 2.983747442869332)	(4.0, 1.2459265807950493)	(5.0, 0.6476351038786147)	(6.0, 0.37624515558662375)	(7.0, 0.41016889912312265)	(8.0, 0.33306948199471614)	(9.0, 0.22204632132981073)	('>10', 5.037161919055892)	('>50', 2.940057773163235)	('>100', 6.823812411978166)	('>500', 2.8583323910071243)	('>1k', 1.2628884525632986)	('>5k', 0.0)	('>10k+', 36.8247376049837)
SRR908440_2_paired	(1.0, 45.97930575630348)	(2.0, 15.137541009934155)	(3.0, 4.4531626402367674)	(4.0, 1.4132654231766353)	(5.0, 0.4531167549957556)	(6.0, 0.0894762199738454)	(7.0, 0.10438892330281964)	(8.0, 0.06423933741711978)	(9.0, 0.0)	('>10', 0.6607474705760892)	('>50', 0.06194507536650836)	('>100', 1.1218941427489848)	('>500', 2.2541124647257207)	('>1k', 1.5073301672517034)	('>5k', 0.0)	('>10k+', 26.69947461399041)
SRR908441_1	(1.0, 22.164805723943033)	(2.0, 5.180413057078481)	(3.0, 2.1274112369123284)	(4.0, 1.230400847596839)	(5.0, 0.879416834024061)	(6.0, 0.7288520529461283)	(7.0, 0.5901385247616286)	(8.0, 0.5171455808043482)	(9.0, 0.5308822602944637)	('>10', 10.28123123170978)	('>50', 5.739507906958258)	('>100', 17.316296557245597)	('>500', 8.132114258148377)	('>1k', 11.007928511402556)	('>5k', 3.166708642456626)	('>10k+', 10.4067467737175)
SRR908441_1_paired	(1.0, 57.19960833683032)	(2.0, 11.169860586562223)	(3.0, 3.5137781507903205)	(4.0, 1.592763556674593)	(5.0, 0.8812421317666806)	(6.0, 0.6546370121695342)	(7.0, 0.47652352310346435)	(8.0, 0.4625355527579615)	(9.0, 0.5035669324381032)	('>10', 6.417680794516715)	('>50', 3.337529724436984)	('>100', 6.454982048771391)	('>500', 3.358977945633422)	('>1k', 3.9763137035482816)	('>5k', 0.0)	('>10k+', 0.0)
SRR908441_2	(1.0, 22.7494750260745)	(2.0, 4.8616434211797)	(3.0, 1.9842160526924866)	(4.0, 1.1555927097991419)	(5.0, 0.8338730933589034)	(6.0, 0.7455806481797252)	(7.0, 0.6199546690821912)	(8.0, 0.6060567841928761)	(9.0, 0.5346598069183557)	('>10', 9.683010662196704)	('>50', 5.717480840445474)	('>100', 16.915905970671215)	('>500', 7.9416874378295805)	('>1k', 9.779205826234511)	('>5k', 4.754984184973694)	('>10k+', 11.116672866170948)
SRR908441_2_paired	(1.0, 61.54706952021262)	(2.0, 11.371287359537465)	(3.0, 3.631277101692544)	(4.0, 1.712127570289551)	(5.0, 1.030447148785378)	(6.0, 0.7945167156245628)	(7.0, 0.6331887909730964)	(8.0, 0.5669790646710496)	(9.0, 0.5203524968527067)	('>10', 6.413018137734881)	('>50', 2.4236489951974636)	('>100', 4.7969412971511165)	('>500', 0.0)	('>1k', 4.559145801277568)	('>5k', 0.0)	('>10k+', 0.0)
SRR908442_1	(1.0, 25.342851020517493)	(2.0, 11.541758182889591)	(3.0, 5.14678309315905)	(4.0, 2.3035302941018907)	(5.0, 1.3258691809074838)	(6.0, 0.803557079337869)	(7.0, 0.5531151229442332)	(8.0, 0.5892751915144373)	(9.0, 0.48213424760272133)	('>10', 7.138265388118069)	('>50', 4.17046124176354)	('>100', 6.432474420099641)	('>500', 3.1338726094176894)	('>1k', 3.1392296566132747)	('>5k', 0.0)	('>10k+', 27.896823271013016)
SRR908442_1_paired	(1.0, 48.437137330754354)	(2.0, 25.35396518375242)	(3.0, 10.108317214700193)	(4.0, 3.4352030947775627)	(5.0, 1.7988394584139267)	(6.0, 0.4874274661508704)	(7.0, 0.2978723404255319)	(8.0, 0.12379110251450676)	(9.0, 0.13926499032882012)	('>10', 0.3404255319148936)	('>50', 0.33268858800773693)	('>100', 0.5067698259187621)	('>500', 0.0)	('>1k', 8.638297872340425)	('>5k', 0.0)	('>10k+', 0.0)
SRR908442_2	(1.0, 29.50259816788986)	(2.0, 9.851609792682273)	(3.0, 3.700380350350887)	(4.0, 1.8321101408903413)	(5.0, 0.9843574221888896)	(6.0, 0.6187389510901591)	(7.0, 0.5062409599828575)	(8.0, 0.492848341993893)	(9.0, 0.34954732951197304)	('>10', 6.871752290137676)	('>50', 3.6816306851663363)	('>100', 6.8235388653774045)	('>500', 2.172282637810039)	('>1k', 2.674505812396207)	('>5k', 0.0)	('>10k+', 29.937858252531203)
SRR908442_2_paired	(1.0, 57.50483558994197)	(2.0, 21.92649903288201)	(3.0, 6.765957446808511)	(4.0, 2.599613152804642)	(5.0, 0.8897485493230174)	(6.0, 0.2553191489361702)	(7.0, 0.16247582205029013)	(8.0, 0.09284332688588008)	(9.0, 0.06963249516441006)	('>10', 0.5725338491295938)	('>50', 0.22823984526112187)	('>100', 1.516441005802708)	('>500', 0.0)	('>1k', 7.415860735009671)	('>5k', 0.0)	('>10k+', 0.0)
